E_COORD;N_COORD;AS18_4
2623700;1156500;2
2623700;1156600;3
2623700;1157500;4
2623700;1157800;3
2623700;1158800;4
2623700;1160400;4
2623700;1160800;3
2623700;1160900;3
2623700;1161000;2
2623700;1161100;2
2623700;1161300;3
2623700;1161400;2
2623700;1162200;3
2621300;1173400;2
2621300;1173500;2
2621300;1173600;2
2621300;1173700;1
2621300;1173800;2
2621300;1174600;3
2621300;1175000;3
2621300;1175300;3
2621300;1175800;2
2621300;1175900;2
2621300;1176800;2
2621300;1177100;2
2621300;1177200;2
2621300;1177700;3
2621300;1177800;3
2621300;1177900;3
2621300;1178100;3
2621300;1178500;3
2621300;1178800;2
2621300;1179700;3
2621300;1180000;2
2625700;1177600;3
2625700;1178800;3
2625700;1178900;3
2625700;1179100;3
2625800;1162300;2
2625800;1162600;2
2625800;1163300;3
2625800;1163400;3
2625800;1163500;3
2625800;1163800;3
2625800;1163900;3
2625800;1164100;3
2625800;1164300;3
2625800;1165100;3
2625800;1165200;2
2625800;1165400;3
2625800;1165500;3
2625800;1165900;3
2625800;1166000;3
2625800;1166600;2
2625800;1166900;2
2625800;1167100;1
2625800;1167900;4
2625800;1168000;4
2625800;1168500;4
2626100;1150500;4
2626100;1150600;4
2626100;1151100;4
2626100;1151400;4
2626100;1151900;4
2625000;1178600;2
2625000;1179100;3
2625000;1179200;3
2625000;1179300;1
2625000;1179500;2
2625000;1179900;3
2623500;1170600;4
2623500;1170700;3
2623500;1171000;3
2623500;1171200;3
2623600;1151100;2
2623600;1151500;4
2623600;1151600;4
2623600;1151700;4
2623600;1152000;4
2623600;1152100;4
2623600;1152200;4
2623600;1152400;4
2623600;1152700;4
2623600;1152800;2
2623600;1153000;2
2623600;1153100;2
2623600;1153400;2
2623600;1153900;4
2623600;1154900;2
2623600;1155200;3
2623600;1155300;3
2623600;1155400;3
2623600;1156400;3
2623600;1156500;3
2623600;1156600;3
2623600;1157300;3
2623600;1157600;3
2623600;1158300;3
2623600;1158800;2
2623600;1159100;3
2623600;1159400;3
2623600;1160100;4
2623600;1160300;4
2623600;1160900;3
2623600;1161000;2
2623600;1161300;2
2623600;1161400;2
2621800;1175800;3
2621800;1175900;2
2621800;1176200;1
2621800;1176400;2
2621800;1176500;2
2621800;1176800;2
2621800;1176900;2
2621800;1177600;3
2621800;1177800;3
2621800;1178100;3
2621800;1178500;1
2621800;1178800;3
2621800;1178900;3
2621800;1179400;2
2621800;1180000;2
2623800;1150000;4
2623800;1150600;4
2623800;1151100;2
2623800;1151200;2
2623800;1151400;4
2623800;1152400;4
2623800;1152700;4
2623800;1152900;2
2621400;1163500;2
2621400;1163600;2
2621400;1164400;1
2621400;1165100;2
2621400;1165500;3
2621400;1166200;2
2621400;1166300;2
2621400;1166700;2
2621400;1166800;2
2621400;1168600;1
2621400;1169100;4
2621400;1169200;4
2621400;1170100;4
2621400;1170200;4
2621400;1170300;4
2621400;1170500;4
2621400;1170600;4
2621400;1170700;4
2621400;1170800;4
2621400;1171000;4
2621400;1171100;4
2621400;1171500;4
2621400;1171900;4
2621400;1172100;4
2621400;1172700;4
2621400;1173300;2
2621400;1173400;2
2621400;1173500;2
2621500;1154700;4
2621500;1155000;4
2625800;1168700;4
2625800;1168800;4
2625800;1168900;4
2625800;1169300;4
2625800;1169800;4
2625800;1170700;3
2625800;1170900;3
2625800;1172000;3
2625800;1172800;2
2625900;1152000;4
2625900;1152100;4
2625900;1152300;4
2625900;1152700;2
2625900;1153100;2
2625900;1153200;2
2625900;1153400;2
2625900;1153800;2
2625900;1154500;3
2625900;1154700;2
2625900;1154800;2
2625900;1155000;2
2625900;1155300;2
2625900;1155800;2
2625900;1156000;4
2625900;1156500;4
2625900;1156900;2
2625900;1157000;3
2625900;1157100;3
2625900;1157200;3
2625900;1157600;3
2625900;1158100;3
2625900;1159600;2
2625900;1159900;2
2625900;1160000;2
2625900;1161600;2
2625900;1162200;3
2625900;1162400;2
2625100;1158100;3
2625100;1158600;3
2625100;1159400;2
2625100;1159500;2
2625100;1159700;2
2625100;1159800;4
2625100;1160000;4
2625100;1160200;4
2625100;1160500;4
2625100;1160700;4
2625100;1161800;3
2625100;1162000;3
2625100;1163500;4
2625100;1163900;3
2625100;1164700;3
2625100;1165200;3
2625100;1165700;3
2625100;1166100;3
2625100;1166900;2
2625100;1167300;4
2625100;1168500;4
2623700;1150000;4
2623700;1150500;4
2623700;1151700;4
2621900;1165400;3
2621900;1165500;3
2621900;1165900;2
2621900;1166000;1
2621900;1166200;2
2621900;1166300;2
2621900;1166600;2
2621900;1166900;2
2621900;1167000;3
2621900;1167100;2
2621900;1168700;4
2621900;1169100;4
2621900;1169200;4
2621900;1169400;4
2621900;1169700;4
2621900;1170600;4
2621900;1171300;4
2621900;1172000;4
2621900;1172200;4
2621900;1172300;4
2621900;1172900;4
2621900;1173000;3
2621900;1175200;2
2621900;1175500;3
2621900;1175700;3
2621900;1175800;3
2622000;1155200;4
2622000;1155400;4
2621500;1155200;4
2621500;1155300;4
2621500;1155400;4
2621500;1155600;4
2621500;1155700;4
2621500;1155800;3
2621500;1156000;3
2621500;1156200;3
2621500;1156300;3
2621500;1156600;3
2621500;1156700;2
2621500;1156900;3
2621500;1158600;3
2621500;1158700;2
2621500;1159000;2
2621500;1159200;2
2621500;1159400;2
2621500;1160100;2
2621500;1160200;2
2621500;1160800;1
2621500;1161100;2
2621500;1162900;3
2621500;1163100;3
2621600;1150000;4
2621600;1150200;4
2626000;1150500;4
2626000;1150900;4
2626000;1151700;4
2622000;1156500;3
2622000;1157100;3
2622000;1157300;2
2622000;1157700;2
2622000;1158700;2
2622000;1159000;3
2622000;1160200;2
2622000;1161300;3
2622000;1161500;3
2622000;1161700;3
2622000;1162000;3
2622000;1162200;3
2622000;1162400;3
2622000;1162600;3
2622000;1162700;3
2622000;1162900;3
2622000;1163400;3
2622000;1163500;3
2622000;1164200;2
2622000;1164600;2
2622000;1164800;2
2622000;1164900;2
2622000;1165500;3
2625100;1179500;3
2625100;1179900;3
2621600;1150300;4
2621600;1150700;2
2621600;1151400;4
2621600;1151800;4
2621600;1152000;4
2621600;1152200;4
2621600;1152300;4
2621600;1152400;4
2621600;1152700;4
2621600;1153400;4
2624900;1178500;2
2624900;1178600;3
2624900;1179000;3
2624900;1179200;3
2624900;1179800;3
2621700;1176100;2
2621700;1176700;3
2621700;1177200;3
2621700;1178000;3
2621700;1178600;2
2621700;1178800;3
2621700;1179100;2
2621700;1179600;3
2621700;1179900;2
2626100;1173300;2
2626100;1173400;2
2626100;1173800;4
2626100;1173900;4
2626100;1174300;3
2626100;1175200;2
2626100;1176100;3
2626100;1176200;4
2626100;1176900;4
2626100;1177500;2
2626100;1178600;2
2626100;1179000;2
2626100;1179100;2
2626100;1179800;3
2626200;1162500;3
2626200;1162900;3
2626200;1163100;2
2626200;1163500;2
2626200;1163600;3
2626200;1164500;3
2626200;1165600;3
2626200;1165700;4
2626200;1166300;3
2626200;1166700;3
2626200;1167400;1
2622100;1150500;2
2622100;1150600;4
2622100;1150700;2
2622100;1151100;4
2622100;1151800;4
2622100;1152400;4
2622100;1152900;4
2622100;1153000;4
2622100;1153500;2
2622100;1153600;4
2622100;1153800;2
2622100;1154600;4
2622100;1154800;4
2625200;1159500;2
2625200;1159800;4
2625200;1161300;4
2625200;1161700;2
2625200;1162000;3
2625200;1162100;4
2625200;1162400;3
2625200;1163400;3
2625200;1163600;4
2625200;1163900;3
2625200;1164900;3
2625200;1165000;3
2625200;1165200;3
2625200;1165500;3
2625200;1165600;3
2625200;1166000;3
2625200;1166300;3
2625200;1166500;3
2625200;1167500;4
2625200;1167700;4
2625200;1168200;4
2625200;1168500;4
2625000;1167900;4
2625000;1168300;4
2625000;1169100;4
2625000;1169200;4
2625000;1169300;4
2625000;1169700;4
2625000;1170200;3
2625000;1170300;3
2625000;1171000;3
2625000;1171600;3
2625000;1171900;3
2625000;1172400;3
2625000;1172500;3
2625000;1172900;4
2625000;1173000;3
2625000;1173400;3
2625000;1174100;3
2625000;1174900;3
2625000;1175400;4
2625000;1175800;4
2625000;1176500;2
2625000;1177200;2
